PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,DOLLAR PER SQUARE FEET,HOA PER MONTH,URL,LATITUDE,LONGITUDE
Single Family Residential,1002 Shovelhead Dr #58,Durham,NC,27703,416135,3,2.5,Chandler Run,1985,4791,2025,16,210,118,https://www.redfin.com/NC/Durham/1002-Shovelhead-DR-27703/unit-58/home/195552416,35.990598,-78.837781
Townhouse,1905 Hinesley Dr,Durham,NC,27703,373490,3,2.5,Copper Run South,1678,2178,2025,3,223,,https://www.redfin.com/NC/Durham/1905-Hinesley-Rd-27703/home/195782937,35.9438739,-78.8281009
Townhouse,1903 Hinesley Dr,Durham,NC,27703,379490,3,2.5,Copper Run South,1699,2178,2025,3,223,,https://www.redfin.com/NC/Durham/1903-Hinesley-Rd-27703/home/195782912,35.9438739,-78.8281009
Townhouse,1913 Hinesley Dr,Durham,NC,27703,378490,3,2.5,Copper Run South,1699,2178,2025,3,223,,https://www.redfin.com/NC/Durham/1913-Hinesley-Rd-27703/home/195785590,35.9438739,-78.8281009
Townhouse,1917 Hinesley Dr,Durham,NC,27703,383490,3,2.5,Copper Run South,1763,3484,2025,3,218,,https://www.redfin.com/NC/Durham/1917-Hinesley-Rd-27703/home/195785629,35.9438739,-78.8281009
Townhouse,1907 Hinesley Dr,Durham,NC,27703,379490,3,2.5,Copper Run South,1699,2178,2025,3,223,,https://www.redfin.com/NC/Durham/1907-Hinesley-Rd-27703/home/195785428,35.9438739,-78.8281009
Townhouse,1901 Hinesley Dr,Durham,NC,27703,383490,3,2.5,Copper Run South,1763,3484,2025,3,218,,https://www.redfin.com/NC/Durham/1901-Hinesley-Rd-27703/home/195782819,35.9438739,-78.8281009
Townhouse,1915 Hinesley Dr,Durham,NC,27703,374490,3,2.5,Copper Run South,1678,2178,2025,3,223,,https://www.redfin.com/NC/Durham/1915-Hinesley-Rd-27703/home/195785615,35.9438739,-78.8281009
Townhouse,1909 Hinesley Dr,Durham,NC,27703,383490,3,2.5,Copper Run South,1763,3484,2025,3,218,,https://www.redfin.com/NC/Durham/1909-Hinesley-Rd-27703/home/195785565,35.9438739,-78.8281009
Townhouse,708 Blackpool Dr,Durham,NC,27703,637430,3,2.5,Courtyards at Oak Grove,2368,4791,2025,14,269,285,https://www.redfin.com/NC/Durham/708-Blackpool-DR-27703/home/195569250,35.942871,-78.794805
Townhouse,710 Blackpool Dr,Durham,NC,27703,612250,3,2.5,Courtyards at Oak Grove,2410,3920,2025,14,254,285,https://www.redfin.com/NC/Durham/710-Blackpool-DR-27703/home/195571550,35.942984,-78.794614
Single Family Residential,1009 Morrison Dr,Durham,NC,27703,599990,4,3,Creekside at Bethpage,2213,5663,2022,1,271,262,https://www.redfin.com/NC/Durham/1009-Morrison-Dr-27703/home/176504473,35.8995218,-78.8308822
Single Family Residential,805 Narrative Ln,Durham,NC,27703,835000,4,3.5,Creekside at Bethpage,3120,6970,2019,1,268,262,https://www.redfin.com/NC/Durham/805-Narrative-Ln-27703/home/169619112,35.9058622,-78.831921
Single Family Residential,1033 Cuthbert Ln,Durham,NC,27703,469000,2,2,Creekside at Bethpage,1386,4792,2017,8,338,262,https://www.redfin.com/NC/Durham/1033-Cuthbert-Ln-27703/home/113067435,35.9065092,-78.8246315
Single Family Residential,1528 Anthology Dr,Durham,NC,27703,570000,2,2,Creekside at Bethpage,1687,8712,2016,1,338,262,https://www.redfin.com/NC/Durham/1528-Anthology-Dr-27703/home/109463276,35.8997235,-78.8223797
Condo/Co-op,700 Finsbury St #105,Durham,NC,27703,225000,1,1.5,Davis Park,789,,2014,6,285,425,https://www.redfin.com/NC/Durham/700-Finsbury-St-27703/unit-105/home/49546713,35.8815632,-78.8651648
Townhouse,1133 Arbor Edge Ln,Durham,NC,27703,375000,3,2.5,Dogwood Pointe,1897,2178,2021,1,198,149,https://www.redfin.com/NC/Durham/1133-Arbor-Edge-Ln-27703/home/173318221,35.97282,-78.789803
Townhouse,1043 Islip Pl,Durham,NC,27703,437500,4,3.5,Ellis Crossing,2227,3049,2020,5,196,212,https://www.redfin.com/NC/Durham/1043-Islip-Pl-27703/home/173359432,35.9395637,-78.8485605
Townhouse,3145 Montlawn Pl,Durham,NC,27703,457000,3,2.5,Ellis Walk,1989,2613,2022,8,230,186,https://www.redfin.com/NC/Durham/3145-Montlawn-Pl-27703/home/182393240,35.952626,-78.861647
Townhouse,1112 Pate Farm Ln,Durham,NC,27703,410000,3,2.5,Ellis Walk,1796,2613,2023,8,228,186,https://www.redfin.com/NC/Durham/1112-Pate-Farm-Ln-27703/home/182627414,35.9517219,-78.860469
Single Family Residential,3112 Star Gazing Ln,Durham,NC,27703,490000,3,2.5,Ellis Walk,1921,4791,2023,2,255,63,https://www.redfin.com/NC/Durham/3112-Star-Gazing-Ln-27703/home/184120005,35.9484,-78.8612
Single Family Residential,1021 Greatland Rd,Durham,NC,27703,539000,3,2.5,Enclave at Leesville,1948,4792,2024,14,277,197,https://www.redfin.com/NC/Durham/1021-Greatland-Rd-27703/home/182393658,35.9246317,-78.7657898
Single Family Residential,7 Mint Hill Ct,Durham,NC,27703,414900,3,2.5,Foxwood Manor,1856,7405,2011,15,224,33,https://www.redfin.com/NC/Durham/7-Mint-Hill-Ct-27703/home/43612988,35.9551397,-78.8707064
Single Family Residential,10 Gwendolyn Cir,Durham,NC,27703,260000,3,2.5,Grove Park,1978,7405,2004,1,131,65,https://www.redfin.com/NC/Durham/10-Gwendolyn-Cir-27703/home/43589406,35.9798789,-78.8024905
Single Family Residential,10 Marsh Landing Ct,Durham,NC,27703,435000,4,2.5,Grove Park,2046,12197,1998,3,213,65,https://www.redfin.com/NC/Durham/10-Marsh-Landing-Ct-27703/home/43565427,35.9736772,-78.818212
Single Family Residential,501 Bellmeade Bay Dr,Durham,NC,27703,435000,4,2,Grove Park,1788,13068,1999,17,243,65,https://www.redfin.com/NC/Durham/501-Bellmeade-Bay-Dr-27703/home/43588979,35.9746471,-78.8190036
Single Family Residential,1003 Southshore Pkwy,Durham,NC,27703,500000,4,2.5,Grove Park,2260,9583,2003,10,221,61,https://www.redfin.com/NC/Durham/1003-Southshore-Pkwy-27703/home/43565715,35.9726728,-78.8160486
Single Family Residential,522 Crossview Ln,Durham,NC,27703,400000,3,2.5,Grove Park,1647,9583,2001,3,243,65,https://www.redfin.com/NC/Durham/522-Crossview-Ln-27703/home/43568376,35.9735686,-78.821031
Single Family Residential,105 Stoney Dr,Durham,NC,27703,400000,3,2.5,Grove Park,1880,8712,2003,1,213,65,https://www.redfin.com/NC/Durham/105-Stoney-Dr-27703/home/43589367,35.9807974,-78.80159
Single Family Residential,512 N Waters Edge Dr,Durham,NC,27703,500000,4,2.5,Grove Park,2123,6098,1998,10,236,65,https://www.redfin.com/NC/Durham/512-N-Waters-Edge-Dr-27703/home/43568976,35.974412,-78.8151779
Single Family Residential,1030 Thoughtful Spot Ln,Durham,NC,27703,425000,3,2.5,Hanover Pointe,1980,4922,2015,7,215,50,https://www.redfin.com/NC/Durham/1030-Thoughtful-Spot-Ln-27703/home/105480560,35.9641617,-78.8380134
Single Family Residential,1004 Sora Way,Durham,NC,27703,459990,4,3,Harlowe Point,2134,4791,2025,1,216,141,https://www.redfin.com/NC/Durham/1004-Sora-Way-27703/home/195823175,35.967086,-78.8337211
Single Family Residential,1000 Sora Way,Durham,NC,27703,434990,3,2.5,Harlowe Point,1924,6098,2024,19,226,141,https://www.redfin.com/NC/Durham/1000-Sora-Way-27703/home/195535237,35.9670392,-78.8339203
Single Family Residential,12404 Huntley Chase Dr,Durham,NC,27703,525000,3,3,Huntley,2504,6098,2021,13,210,160,https://www.redfin.com/NC/Durham/12404-Huntley-Chase-Dr-27703/home/169617840,35.9304694,-78.7566782
Single Family Residential,2007 Seford Dr,Durham,NC,27703,428000,4,2.5,Meadows at Twin Lakes,2082,6534,2022,21,206,70,https://www.redfin.com/NC/Durham/2007-Seford-Dr-27703/home/182393000,36.0017096,-78.8377556
Single Family Residential,3017 Ginger Hill Ln,Durham,NC,27703,449000,4,2.5,Meadows at Twin Lakes,2073,6970,2022,14,217,70,https://www.redfin.com/NC/Durham/3017-Ginger-Hill-Ln-27703/home/182392992,36.002589,-78.8390639
Single Family Residential,1903 Edgerton Dr,Durham,NC,27703,1450000,6,6,Not in a Subdivision,3892,39204,2025,20,373,,https://www.redfin.com/NC/Durham/1903-Edgerton-Dr-27703/home/43560609,35.9548545,-78.8763465
Single Family Residential,626 S Hoover Rd,Durham,NC,27703,279000,2,1.5,Not in a Subdivision,1,15246,1959,8,279000,,https://www.redfin.com/NC/Durham/626-S-Hoover-Rd-27703/home/110075561,35.9817724,-78.8645457
Single Family Residential,4038 Carpenter Pond Rd,Durham,NC,27703,2250000,4,4,Not in a Subdivision,7554,435600,2002,1,298,,https://www.redfin.com/NC/Durham/4038-Carpenter-Pond-Rd-27703/home/43590519,35.9352461,-78.7621822
Single Family Residential,1345 Ellis Rd,Durham,NC,27703,375000,2,2,Not in a Subdivision,1004,9148,1949,5,374,,https://www.redfin.com/NC/Durham/1345-Ellis-Rd-27703/home/43559681,35.9523471,-78.8703227
Single Family Residential,1209 Eva St,Durham,NC,27703,334000,3,1,Not in a Subdivision,1360,8712,1937,6,246,,https://www.redfin.com/NC/Durham/1209-Eva-St-27703/home/43530773,35.9936997,-78.8791944
Single Family Residential,704 S Mineral Springs Rd,Durham,NC,27703,399000,2,1.5,Not in a Subdivision,1680,20908,1961,2,238,,https://www.redfin.com/NC/Durham/704-S-Mineral-Springs-Rd-27703/home/43564421,35.9726269,-78.8294382
Single Family Residential,502 Hiddenbrook Dr,Durham,NC,27703,549900,5,2.5,Not in a Subdivision,1933,60113,1976,12,284,,https://www.redfin.com/NC/Durham/502-Hiddenbrook-Dr-27703/home/43565855,35.9707945,-78.7968637
Single Family Residential,4006 Daniel Rd,Durham,NC,27703,360000,4,3,Not in a Subdivision,2690,71874,1972,13,134,,https://www.redfin.com/NC/Durham/4006-Daniel-Rd-27703/home/43566245,35.9968116,-78.8121051
Single Family Residential,317 Gary St,Durham,NC,27703,195000,3,1,Not in a Subdivision,845,9583,1963,2,231,,https://www.redfin.com/NC/Durham/317-Gary-St-27703/home/43528386,35.9881229,-78.8711331
Single Family Residential,107 N Guthrie Ave,Durham,NC,27703,499000,3,2,Not in a Subdivision,1623,6098,1918,13,307,,https://www.redfin.com/NC/Durham/107-N-Guthrie-Ave-27703/home/43528167,35.9863517,-78.8763581
Townhouse,172 Token House Rd,Durham,NC,27703,340000,3,2.5,Orchard Ridge,1568,1742,2013,2,217,140,https://www.redfin.com/NC/Durham/172-Token-House-Rd-27703/home/43612546,35.9586407,-78.8228383
Single Family Residential,5410 Pageford Dr,Durham,NC,27703,374900,3,2.5,Pagehurst,1831,8712,2000,1,205,40,https://www.redfin.com/NC/Durham/5410-Pageford-Dr-27703/home/43589711,35.9236786,-78.8186423
Single Family Residential,629 Conover Rd,Durham,NC,27703,629900,4,3.5,Ravenstone,2850,30492,2025,14,221,47,https://www.redfin.com/NC/Durham/629-Conover-Rd-27703/home/110074447,35.969563,-78.787485
Single Family Residential,633 Conover Rd,Durham,NC,27703,639900,4,3.5,Ravenstone,2850,21344,2025,6,225,47,https://www.redfin.com/NC/Durham/633-Conover-Rd-27703/home/110076014,35.968985,-78.787425
Single Family Residential,2513 Magnolia Tree Ln,Durham,NC,27703,480000,3,2.5,Rustica Oaks,2255,5227,2016,7,213,60,https://www.redfin.com/NC/Durham/2513-Magnolia-Tree-Ln-27703/home/49676770,35.94926,-78.8801283
Single Family Residential,214 Dogwood Blossoms Dr,Durham,NC,27703,489900,3,2.5,Rustica Oaks,2332,5227,2017,15,210,60,https://www.redfin.com/NC/Durham/214-Dogwood-Blossoms-Dr-27703/home/110075101,35.9480104,-78.8774303
Single Family Residential,509 Olive Branch Rd,Durham,NC,27703,569000,4,2.5,Shaw Hill Estates,2430,19602,2025,1,234,,https://www.redfin.com/NC/Durham/509-Olive-Branch-Rd-27703/home/193443526,35.9644727,-78.7821867
Townhouse,1141 Amber Shadow Dr #101,Durham,NC,27703,369000,3,2.5,Shepards Square,1708,1742,2021,13,216,132,https://www.redfin.com/NC/Durham/1141-Amber-Shadow-Dr-27703/unit-101/home/193856354,35.9569024,-78.8698491
Townhouse,509 Sherron Rd #30,Durham,NC,27703,444990,3,3,Sherron Road Townes,2095,1568,2025,6,212,160,https://www.redfin.com/NC/Durham/509-Sherron-Rd-27703/unit-30/home/195661994,35.967565,-78.8034009
Townhouse,509 Sherron Rd #11,Durham,NC,27703,555713,4,3.5,Sherron Road Townes,2095,1568,2025,4,265,160,https://www.redfin.com/NC/Durham/509-Sherron-Rd-27703/unit-11/home/195776673,35.967565,-78.8034009
Single Family Residential,1613 Kilmer Ter,Durham,NC,27703,289000,2,1,Sherwood Forest,845,11761,1940,14,342,,https://www.redfin.com/NC/Durham/1613-Kilmer-Ter-27703/home/43530594,36.0001364,-78.8738727
Single Family Residential,406 Sapphire Dr,Durham,NC,27703,385000,4,2.5,Stone Hill Estates,1780,7405,1998,20,216,15,https://www.redfin.com/NC/Durham/406-Sapphire-Dr-27703/home/43562240,35.9897844,-78.8219094
Townhouse,1010 Westerland Way #200,Durham,NC,27703,394580,3,2.5,Sweetbriar,1946,2400,2025,10,203,240,https://www.redfin.com/NC/Durham/1010-Westerland-Way-27703/unit-200/home/195603682,35.9555326,-78.7768702
Single Family Residential,2161 Pink Peony Cir #232,Durham,NC,27703,746679,5,4,Sweetbrier,4256,6534,2024,3,175,95,https://www.redfin.com/NC/Durham/2161-Pink-Peony-CIR-27703/unit-232/home/194055226,35.955093,-78.778722
Single Family Residential,3003 Dog Rose Dr #176,Durham,NC,27703,676496,5,3.5,Sweetbrier,3100,7666,2025,5,218,105,https://www.redfin.com/NC/Durham/3003-Dog-Rose-Dr-27703/unit-176/home/195776527,35.954164,-78.780014
Single Family Residential,3004 Dog Rose Dr #309,Durham,NC,27703,720593,5,4,Sweetbrier,3550,6621,2025,19,203,105,https://www.redfin.com/NC/Durham/3004-Dog-Rose-Dr-27703/unit-309/home/195533153,35.953645,-78.780028
Townhouse,1018 Westerland Way #204,Durham,NC,27703,408212,3,2.5,Sweetbrier,1947,2613,2025,10,210,240,https://www.redfin.com/NC/Durham/1018-Westerland-Way-27703/unit-204/home/195604989,35.9555326,-78.7768702
Single Family Residential,3017 Dog Rose Dr #169,Durham,NC,27703,765161,5,4,Sweetbrier,4167,6621,2025,17,184,105,https://www.redfin.com/NC/Durham/3017-Dog-Rose-Dr-27703/unit-169/home/195542578,35.953534,-78.778928
Single Family Residential,3008 Dog Rose Dr #307,Durham,NC,27703,750166,5,4.5,Sweetbrier,3725,6534,2025,3,201,105,https://www.redfin.com/NC/Durham/3008-Dog-Rose-Dr-27703/unit-307/home/195781311,35.953467,-78.779711
Single Family Residential,3006 Dog Rose Dr #308,Durham,NC,27703,748194,5,4,Sweetbrier,4174,6534,2025,10,179,105,https://www.redfin.com/NC/Durham/3006-Dog-Rose-Dr-27703/unit-308/home/195605199,35.95356,-78.779875
Single Family Residential,3005 Dog Rose Drive Dr #175,Durham,NC,27703,717107,5,4,Sweetbrier,3550,6621,2025,5,202,105,https://www.redfin.com/NC/Durham/3005-Dog-Rose-Dr-27703/unit-175/home/195776529,35.954073,-78.779845
Single Family Residential,3007 Dog Rose Dr #174,Durham,NC,27703,739590,5,4.5,Sweetbrier,3725,6621,2025,5,199,105,https://www.redfin.com/NC/Durham/3007-Dog-Rose-Dr-27703/unit-174/home/195741612,35.953986,-78.779698
Townhouse,4008 Silver Oak Ln,Durham,NC,27703,384930,3,3.5,Tanglewood,1730,1374,2025,1,223,225,https://www.redfin.com/NC/Morrisville/4008-Silver-Oak-Ln-27560/home/193444336,35.9084091,-78.8205754
Townhouse,4012 Silver Oak Ln,Durham,NC,27703,393680,3,3.5,Tanglewood,1780,1776,2025,1,221,225,https://www.redfin.com/NC/Morrisville/4012-Silver-Oak-Ln-27560/home/193444338,35.9085185,-78.8205531
Townhouse,3604 Soaring Elm Dr,Durham,NC,27703,425990,3,2.5,Tanglewood,1924,2082,2025,6,221,225,https://www.redfin.com/NC/Durham/3604-Soaring-Elm-DR-27703/home/195661821,35.908145,-78.822032
Townhouse,4002 Silver Oak Ln,Durham,NC,27703,376200,3,3.5,Tanglewood,1730,1374,2025,7,217,225,https://www.redfin.com/NC/Durham/4002-Silver-Oak-LN-27703/home/195611753,35.908195495605469,-78.82080841
Townhouse,1 Edgebrook Cir,Durham,NC,27703,325000,4,2.5,Taylor Estates,1659,2614,2003,6,196,185,https://www.redfin.com/NC/Durham/1-Edgebrook-Cir-27703/home/43591513,35.9388042,-78.8443903
Townhouse,919 Montague Ave,Durham,NC,27703,414990,3,2.5,Tredenham,1785,2744,2024,8,232,175,https://www.redfin.com/NC/Durham/919-Montague-Ave-27703/home/193445131,35.941458,-78.7929
Townhouse,5019 Shipper Ln,Durham,NC,27703,362890,3,2.5,Triple Crown,1792,3049,2025,3,203,240,https://www.redfin.com/NC/Durham/5019-Shipper-Ln-27703/home/193444783,35.972084045410156,-78.77883911
Townhouse,6018 Grey Colt Way,Durham,NC,27703,344890,3,2.5,Triple Crown,1792,2613,2025,3,192,240,https://www.redfin.com/NC/Durham/6018-Grey-Colt-Rd-27703/home/193444795,35.971774,-78.778472
Single Family Residential,1602 Red Roses Ave,Durham,NC,27703,524990,5,3,Triple Crown,2619,6534,2025,12,200,110,https://www.redfin.com/NC/Durham/1602-Red-Roses-Ave-27703/home/193444672,35.948143005371094,-78.80436707
Single Family Residential,2616 Wedgedale Ave,Durham,NC,27703,620000,3,2,Wedgedale,1111,12632,1962,18,558,,https://www.redfin.com/NC/Durham/2616-Wedgedale-Ave-27703/home/43541395,35.9863522,-78.8539901
Single Family Residential,308 Lynn Rd,Durham,NC,27703,320000,4,2,Wedgewood,1232,12632,1971,5,260,,https://www.redfin.com/NC/Durham/308-Lynn-Rd-27703/home/43544621,35.9829392,-78.8426661
Townhouse,114 Cross Country Way,Durham,NC,27703,425000,3,3.5,West Brier Townes at Alexander Park,2469,1742,2018,7,172,175,https://www.redfin.com/NC/Durham/114-Cross-Country-Way-27703/home/148602878,35.9133826,-78.8238172
Townhouse,518 Judge Ct,Durham,NC,27703,415000,3,2.5,West Brier Townes at Alexander Park,1835,4356,2021,20,226,175,https://www.redfin.com/NC/Durham/518-Judge-Ct-27703/home/173318161,35.914419,-78.821274
Townhouse,224 Churment Ct,Durham,NC,27703,389500,3,2.5,Winsford at the Park,1886,2614,2017,9,207,179,https://www.redfin.com/NC/Durham/224-Churment-Ct-27703/home/110075505,35.9464668,-78.8716821
Single Family Residential,106 E Delafield Ave,Durham,NC,27704,545000,4,2,Belvindale,1827,10890,1935,1,298,,https://www.redfin.com/NC/Durham/106-E-Delafield-Ave-27704/home/43544140,36.0301805,-78.8913384
Single Family Residential,511 E Maynard Ave,Durham,NC,27704,198750,3,1,Boone,1053,12197,1930,19,189,,https://www.redfin.com/NC/Durham/511-E-Maynard-Ave-27704/home/43540549,36.02769,-78.8866448
Single Family Residential,1014 E Club Blvd,Durham,NC,27704,389000,4,2,Boulevard Heights,1514,7841,1953,1,257,,https://www.redfin.com/NC/Durham/1014-E-Club-Blvd-27704/home/43540887,36.0231865,-78.8776817
Townhouse,2003 Oakdale Dr,Durham,NC,27704,315924,2,2.5,Brooks Mill,1155,1742,2025,14,274,105,https://www.redfin.com/NC/Durham/2003-Oakdale-DR-27704/home/195579288,35.938941,-78.776501
Townhouse,520 Sunset Lake Dr,Durham,NC,27704,360037,3,2.5,Brooks Mill,1566,2613,2025,14,230,105,https://www.redfin.com/NC/Durham/520-Lake-Dr-27704/home/195578926,35.940342,-78.78008
Townhouse,522 Sunset Lake Dr,Durham,NC,27704,385364,4,2.5,Brooks Mill,1913,3049,2025,14,201,105,https://www.redfin.com/NC/Durham/522-Lake-Dr-27704/home/195579007,35.940467,-78.780735
Townhouse,518 Sunset Lake St,Durham,NC,27704,373782,3,2.5,Brooks Mill,1731,2613,2025,17,216,105,https://www.redfin.com/NC/Durham/518-Lake-St-27704/home/195543958,35.940633,-78.780923
Townhouse,3004 Vitner Dr,Durham,NC,27704,332990,3,2.5,Bull City North,1592,2613,2025,7,209,125,https://www.redfin.com/NC/Durham/3004-Vitner-Dr-27704/home/194345480,36.0618767,-78.8940608
Single Family Residential,1106 Red Crest Ln,Durham,NC,27704,415000,3,2.5,Cardinal Lake,2376,10018,2010,15,175,66,https://www.redfin.com/NC/Durham/1106-Red-Crest-Ln-27704/home/43613125,36.013605,-78.8088429
Single Family Residential,2902 Framer Ln,Durham,NC,27704,674900,4,2.5,Carpenter Pointe,3077,10454,2008,5,219,34,https://www.redfin.com/NC/Durham/2902-Framer-Ln-27704/home/43605238,36.0276403,-78.8225056
Single Family Residential,2224 Clements Dr,Durham,NC,27704,345000,3,2.5,Colonial Acres,1309,20038,1969,13,264,,https://www.redfin.com/NC/Durham/2224-Clements-Dr-27704/home/43561822,36.0396264,-78.8663024
Single Family Residential,2612 Glenbrook Dr,Durham,NC,27704,278500,3,1,Glenbrook,1000,8276,1974,20,279,,https://www.redfin.com/NC/Durham/2612-Glenbrook-Dr-27704/home/43541235,36.0287951,-78.8801659
Townhouse,2109 Glen Crossing Dr,Durham,NC,27704,309990,3,2.5,Glenn Crossing,1594,1742,2025,11,194,149,https://www.redfin.com/NC/Durham/2109-Glen-Crossing-Dr-27704/home/193445348,36.0378913,-78.8424796
Townhouse,2107 Glen Crossing Dr,Durham,NC,27704,309990,3,2.5,Glenn Crossing,1594,1742,2025,11,194,149,https://www.redfin.com/NC/Durham/2107-Glen-Crossing-Dr-27704/home/193445349,36.0378913,-78.8424796
Single Family Residential,4126 Amber Stone Way,Durham,NC,27704,375000,3,2.5,Glennstone,2292,9147,2003,10,164,23,https://www.redfin.com/NC/Durham/4126-Amber-Stone-Way-27704/home/43592699,36.0524189,-78.8395001
Single Family Residential,4108 Lady Slipper Ln,Durham,NC,27704,378000,3,2.5,Glennstone,1846,6098,2014,8,205,23,https://www.redfin.com/NC/Durham/4108-Lady-Slipper-Ln-27704/home/43599582,36.0504989,-78.8378382
Single Family Residential,3359 Denise St,Durham,NC,27704,415000,3,2,Homestead Heights,1506,16204,2011,1,276,,https://www.redfin.com/NC/Durham/3359-Denise-St-27704/home/43543457,36.0441559,-78.9101229
Single Family Residential,3357 Denise St,Durham,NC,27704,469000,3,2.5,Homestead Heights,1733,13503,2010,6,271,,https://www.redfin.com/NC/Durham/3357-Denise-St-27704/home/43544432,36.0439547,-78.910365
Single Family Residential,2121 Lime St,Durham,NC,27704,440000,4,2.5,Landon Farms,1794,6534,2003,2,245,17,https://www.redfin.com/NC/Durham/2121-Lime-St-27704/home/43596361,36.0213813,-78.849463
Single Family Residential,2308 Buffalo Way,Durham,NC,27704,249900,3,2,Landon Farms,1093,6534,2010,1,229,10,https://www.redfin.com/NC/Durham/2308-Buffalo-Way-27704/home/43599068,36.022158,-78.8484093
Single Family Residential,1303 Bent Willow Dr,Durham,NC,27704,350000,3,2.5,Magnolia Creek,1440,6534,2020,8,243,40,https://www.redfin.com/NC/Durham/1303-Bent-Willow-Dr-27704/home/169618536,36.0553478,-78.8834442
Single Family Residential,1012 Old Evergreen Dr,Durham,NC,27704,389000,4,2.5,Magnolia Creek,1680,6970,2018,13,232,40,https://www.redfin.com/NC/Durham/1012-Old-Evergreen-Dr-27704/home/169617666,36.0556826,-78.8870259
Single Family Residential,1509 Logan St,Durham,NC,27704,500000,4,4,Northeast Hills,2843,46173,1971,7,176,,https://www.redfin.com/NC/Durham/1509-Logan-St-27704/home/43562078,36.0115449,-78.8499649
Single Family Residential,809 Leon St,Durham,NC,27704,265000,2,1,Northgate Park,858,8276,1952,14,309,,https://www.redfin.com/NC/Durham/809-Leon-St-27704/home/43521485,36.025316,-78.9047553
Single Family Residential,112 E Edgewood Dr,Durham,NC,27704,499000,3,2,Northgate Park,1488,10018,1950,21,335,,https://www.redfin.com/NC/Durham/112-E-Edgewood-Dr-27704/home/43535443,36.0276656,-78.8917469
Single Family Residential,2506 N Duke St,Durham,NC,27704,459000,4,2,Not in a Subdivision,1350,11761,1957,20,340,,https://www.redfin.com/NC/Durham/2506-N-Duke-St-27704/home/43526697,36.0297786,-78.9052028
Single Family Residential,1208 W Murray Ave,Durham,NC,27704,350000,3,1.5,Not in a Subdivision,1012,10018,1969,4,346,,https://www.redfin.com/NC/Durham/1208-W-Murray-Ave-27704/home/43521416,36.0291921,-78.9105856
Single Family Residential,1011 Wyldewood Rd,Durham,NC,27704,350000,3,2,Not in a Subdivision,1200,12632,1972,20,292,,https://www.redfin.com/NC/Durham/1011-Wyldewood-Rd-27704/home/43537875,36.0526566,-78.9157821
Single Family Residential,109 Davidson Ave,Durham,NC,27704,315000,2,1,Not in a Subdivision,957,10454,1941,1,329,,https://www.redfin.com/NC/Durham/109-Davidson-Ave-27704/home/162837336,36.0187923,-78.8919076
Single Family Residential,2015 Cheek Rd,Durham,NC,27704,465000,4,2.5,Not in a Subdivision,1746,7405,2024,11,266,,https://www.redfin.com/NC/Durham/2015-Cheek-Rd-27704/home/108593974,36.005418,-78.860207
Single Family Residential,408 E Maynard Ave,Durham,NC,27704,460000,3,2,Not in a Subdivision,1328,10454,1937,21,346,,https://www.redfin.com/NC/Durham/408-E-Maynard-Ave-27704/home/43533081,36.0270846,-78.8879909
Single Family Residential,5414 Stanley Rd,Durham,NC,27704,355000,3,2,Not in a Subdivision,1215,21344,2000,12,292,,https://www.redfin.com/NC/Durham/5414-Stanley-Rd-27704/home/43574082,36.0732521,-78.8722688
Townhouse,11 Stone Vlg,Durham,NC,27704,245000,2,2,Stonewall Village,1201,1306,1984,6,204,188,https://www.redfin.com/NC/Durham/11-Stone-Village-Ct-27704/home/43540153,36.0523576,-78.9087479
Townhouse,13 Patriot Cir,Durham,NC,27704,239900,2,1.5,Stonewall Village,1229,1742,1974,20,195,252,https://www.redfin.com/NC/Durham/13-Patriot-Cir-27704/home/43538170,36.0515584,-78.9085723
Townhouse,35 Stonewall Way,Durham,NC,27704,245000,2,2,Stonewall Village,1229,1307,1984,14,199,194,https://www.redfin.com/NC/Durham/35-Stonewall-Way-27704/home/43539193,36.0527931,-78.9092764
Townhouse,75 Stone Hill Ct,Durham,NC,27704,250000,2,2,Stonewall Village,1104,3049,1984,6,226,187,https://www.redfin.com/NC/Durham/75-Stone-Hill-Ct-27704/home/43540114,36.0535781,-78.9082584
Single Family Residential,4114 Sudbury Rd,Durham,NC,27704,350000,3,2,Stratton Park,1070,5663,1993,7,327,,https://www.redfin.com/NC/Durham/4114-Sudbury-Rd-27704/home/43593965,36.04455,-78.8887598
Townhouse,1304 Cozart St #109,Durham,NC,27704,289000,3,2.5,Swanns Mill,1552,1742,2013,12,186,178,https://www.redfin.com/NC/Durham/1304-Cozart-St-27704/unit-109/home/43604179,36.060304,-78.8715069
Single Family Residential,1012 Ringhill Bluff Dr,Durham,NC,27704,435000,3,2,Timberleaf,1455,6534,2023,7,299,89,https://www.redfin.com/NC/Durham/1012-Ringhill-Bluff-Dr-27704/home/193442843,36.0200077,-78.84436
Single Family Residential,1917 Washington St,Durham,NC,27704,389000,3,1.5,Trinity Park,1179,18731,1984,1,330,,https://www.redfin.com/NC/Durham/1917-Washington-St-27704/home/43522096,36.0204133,-78.9010655
Single Family Residential,3818 Hillgrand Dr,Durham,NC,27705,475000,3,2,American Village,1784,31799,1962,21,266,,https://www.redfin.com/NC/Durham/3818-Hillgrand-Dr-27705/home/43539603,36.0174125,-78.9619531
